"Combined_Key","Last_Update","Confirmed","Deaths","Recovered","Incident_Rate","Case_Fatality_Ratio"
"Antofagasta, Chile","2021-04-01 04:27:05",43243,867,41196,7117.790938449535,2.0049487778368755
"Araucania, Chile","2021-04-01 04:27:05",54915,671,51266,5736.901707437341,1.221888372939998
"Arica y Parinacota, Chile","2021-04-01 04:27:05",17399,350,16499,7696.356848381903,2.011609862635784
"Atacama, Chile","2021-04-01 04:27:05",14282,170,13602,4942.826291599758,1.1903094804649208
"Aysen, Chile","2021-04-01 04:27:05",3531,28,3386,3422.9046705054384,0.7929764939110734
"Biobio, Chile","2021-04-01 04:27:05",95470,1557,89123,6132.431486281197,1.6308788100974128
"Coquimbo, Chile","2021-04-01 04:27:05",26875,508,25259,3547.4520384484404,1.890232558139535
"Los Lagos, Chile","2021-04-01 04:27:05",60819,794,58420,7339.014465891484,1.3055130797941432
"Los Rios, Chile","2021-04-01 04:27:05",27478,304,25542,7140.16583644504,1.1063396171482642
"Magallanes, Chile","2021-04-01 04:27:05",23107,345,22476,13875.328013066479,1.4930540528844074
"Maule, Chile","2021-04-01 04:27:05",54132,989,49997,5180.343557107995,1.827015443730141
"Metropolitana, Chile","2021-04-01 04:27:05",419769,12868,392112,5901.593294800028,3.065495546360022
"Nuble, Chile","2021-04-01 04:27:05",21360,403,19910,4444.361216706304,1.8867041198501877
"OHiggins, Chile","2021-04-01 04:27:05",38436,890,35429,4202.699673611756,2.315537516911229
"Tarapaca, Chile","2021-04-01 04:27:05",28766,509,27204,8702.254974921194,1.7694500451922408
"Unknown, Chile","2021-04-01 04:27:05",46,1,46,,2.1739130434782608
"Valparaiso, Chile","2021-04-01 04:27:05",65910,1881,59803,3629.601156890625,2.853891670459718
"Anhui, China","2021-04-01 04:27:05",994,6,988,1.571790006325111,0.6036217303822937
"Beijing, China","2021-04-01 04:27:05",1049,9,1037,4.870009285051068,0.8579599618684461
